sigle;session;section;mode;jour;heure_debut;heure_fin
GMC-3002;A25;B;P;1;13:30;15:20
GMC-3002;A25;B;P;2;15:30;18:20
GMC-3002;A25;B;P;3;10:30;12:20
GMC-3002;A25;C;P;1;13:30;15:20
GMC-3002;A25;C;P;2;18:30;21:20
GMC-3002;A25;C;P;3;10:30;12:20
GMC-3002;A25;D;P;1;13:30;15:20
GMC-3002;A25;D;P;1;18:30;21:20
GMC-3002;A25;D;P;3;10:30;12:20
GMC-3002;A24;A;P;1;13:30;15:20
GMC-3002;A24;A;P;1;15:30;18:20
GMC-3002;A24;A;P;3;10:30;12:20
GMC-3002;A24;B;P;1;13:30;15:20
GMC-3002;A24;B;P;2;15:30;18:20
GMC-3002;A24;B;P;3;10:30;12:20
GMC-3002;A24;C;P;1;13:30;15:20
GMC-3002;A24;C;P;2;18:30;21:20
GMC-3002;A24;C;P;3;10:30;12:20
GMC-3002;A24;D;P;1;13:30;15:20
GMC-3002;A24;D;P;1;18:30;21:20
GMC-3002;A24;D;P;3;10:30;12:20
GMC-3002;A25;;;;;
GMC-3002;A26;;;;;
GMC-3002;A27;;;;;
GMC-3002;A28;;;;;
GMC-3002;A29;;;;;
GMC-3002;A30;;;;;
GMC-3002;A31;;;;;
GMC-3003;A26;A;P;3;15:30;17:20
GMC-3003;A26;A;P;5;13:30;15:20
GMC-3003;H26;A;P;2;10:30;12:20
GMC-3003;H26;A;P;5;08:30;10:20
GMC-3003;H25;A;P;2;10:30;12:20
GMC-3003;H25;A;P;5;08:30;10:20
GMC-3003;A27;;;;;
GMC-3003;A28;;;;;
GMC-3003;A29;;;;;
GMC-3003;A30;;;;;
GMC-3003;A31;;;;;
GMC-3003;H26;;;;;
GMC-3003;H27;;;;;
GMC-3003;H28;;;;;
GMC-3003;H29;;;;;
GMC-3003;H30;;;;;
GMC-3003;H31;;;;;
GMC-3005;A26;H;H;2;10:30;12:20
GMC-3005;A26;H;H;3;13:30;15:20
GMC-3005;A25;H;H;2;10:30;12:20
GMC-3005;A25;H;H;3;13:30;15:20
GMC-3005;A24;H;H;2;10:30;12:20
GMC-3005;A24;H;H;3;13:30;15:20
GMC-3005;A25;;;;;
GMC-3005;A26;;;;;
GMC-3005;A27;;;;;
GMC-3005;A28;;;;;
GMC-3005;A29;;;;;
GMC-3005;A30;;;;;
GMC-3005;A31;;;;;
GMC-3006;H26;A;P;4;11:30;13:20
GMC-3006;H26;A;P;5;10:30;12:20
GMC-3006;H26;B;P;2;15:30;17:20
GMC-3006;H26;B;P;5;10:30;12:20
GMC-3006;H26;C;P;3;08:30;10:20
GMC-3006;H26;C;P;5;10:30;12:20
GMC-3006;H26;D;P;3;15:30;17:20
